node,lv1_relation_text
Web Application Security,"['Web Application Security is subclass of Software Security', 'Web Application Security use knowledge of Security Testing', 'Web Application Security use knowledge of Path Traversal', 'Web Application Security use knowledge of Client-side vulnerabilities', 'Web Application Security use knowledge of Server-Side Request Forgery (SSRF)', 'Web Application Security use knowledge of XML External Entities (XXE)', 'Web Application Security use knowledge of Security Testing using Burp Suite', 'Web Application Security use knowledge of Authorization', 'Web Application Security use knowledge of HTTP (Hypertext Transfer Protocol)', 'Web Application Security use knowledge of Authentication', 'Web Application Security use knowledge of XSS (Cross-Site Scripting)', 'Web Application Security use knowledge of Request Forgery', 'Web Application Security use knowledge of SQL Injection', 'Web Application Security use knowledge of Cross-site Scripting (XSS)', 'Web Application Security use knowledge of Cookie and Hidden Variables', 'Web Application Security use knowledge of Access Control', 'Web Application Security use knowledge of HTML', 'Web Application Security use knowledge of Server-Side Controls', 'Web Application Security use knowledge of Client-Side Controls', 'Web Application Security use knowledge of Attacks', 'Web Application Security use knowledge of Security Mechanisms', 'Web Application Security use knowledge of Open Source Dependencies', 'Web Application Security use knowledge of Content Security Policy (CSP)', 'Web Application Security use knowledge of Same Origin Policy (SOP)', 'Web Application Security use knowledge of JavaScript', 'Web Application Security use knowledge of DOM', 'Web Application Security use knowledge of Bypassing Client-Side Control', 'Web Application Security use knowledge of Cross-site scripting (XSS) Vulnerabilities', 'Web Application Security use knowledge of HTTP: GET&POST Methods', 'Web Application Security use knowledge of Data Stores', 'Web Application Security use knowledge of Insecure Deserialization', 'Web Application Security use knowledge of Security Misconfiguration', 'Web Application Security use knowledge of Broken Authentication', 'Web Application Security use knowledge of Sensitive Data Exposure', 'Web Application Security use knowledge of Insecure Design', 'Web Application Security use knowledge of Cross-Site Scripting (XSS)', 'Web Application Security use knowledge of OWASP Top 10', 'Web Application Security use knowledge of API', 'Web Application Security use knowledge of Token Checker', 'Web Application Security use knowledge of Authentication Server', 'Web Application Security use knowledge of PortSwigger Web Security Academy', 'Web Application Security use knowledge of OWASP', 'Web Application Security use knowledge of HTTP', 'Web Application Security use knowledge of OWASP Testing Methodology', 'Web Application Security use knowledge of Application Architecture', 'Web Application Security use knowledge of Configuration and Deployment Management Testing', 'Web Application Security use knowledge of Network Infrastructure Configuration', 'Web Application Security use knowledge of Application Platform Configuration', 'Web Application Security use knowledge of Cryptography', 'Web Application Security use knowledge of Hypertext Transfer Protocol', 'Web Application Security use knowledge of GET & POST Methods', 'Web Application Security use knowledge of Cookie', 'Web Application Security use knowledge of Cookies', 'Web Application Security use knowledge of Session Management', 'Web Application Security use knowledge of Vulnerabilities', 'Web Application Security use knowledge of Burp Suite', 'Web Application Security use knowledge of Hypertext Transfer Protocol (HTTP)', 'Web Application Security use knowledge of HTTPS', 'Web Application Security use knowledge of Hidden Variables', 'Web Application Security use knowledge of Client-Side Control', 'Web Application Security use knowledge of Session Management Vulnerabilities', 'Web Application Security use knowledge of Access Control Flaws', 'Web Application Security use knowledge of Injection Flaws', 'Web Application Security use knowledge of Cross-site scripting (XSS)', 'Web Application Security use knowledge of Cross-Site Request Forgery (CSRF)', 'Web Application Security use knowledge of JSON Web Token (JWT)', 'Web Application Security use knowledge of SOAP API', 'Web Application Security use knowledge of REST API', 'Web Application Security use knowledge of Domain Name System (DNS) Spoofing', 'Web Application Security use knowledge of HTTP Status Code', 'Web Application Security use knowledge of Caching']"
Web Applications,"['Web Applications is synonym of Web Application', 'Web Applications is subclass of Applications', 'Web Applications use knowledge of Security Principles', 'Web Applications use knowledge of Web Performance Optimization', 'Web Applications use knowledge of REST API', 'Web Applications use knowledge of JavaScript', 'Web Applications use knowledge of CSS', 'Web Applications use knowledge of HTML']"
Web Apps,['Web Apps is synonym of Web Applications']
Web Backend,"['Web Backend is subclass of Ecommerce System', 'Web Backend is subclass of Software Architecture', 'Web Backend use knowledge of Port/API', 'Web Backend use knowledge of Data flow']"
Web Browser,"['Web Browser is subclass of System Programs', 'Web Browser is subclass of Client', 'Web Browser use knowledge of HTML', 'Web Browser use knowledge of Communications']"
Web Development,"['Web Development is subclass of Frontend Engineering', 'Web Development is subclass of Software Development', 'Web Development is subclass of Software Engineering', 'Web Development use knowledge of CSS', 'Web Development use knowledge of HTML', 'Web Development use knowledge of JavaScript', 'Web Development use knowledge of CSS3', 'Web Development use knowledge of HTML5']"
Web Framework,"['Web Framework use knowledge of CSS', 'Web Framework use knowledge of HTML', 'Web Framework use knowledge of JavaScript']"
Web Interfaces,['Web Interfaces use knowledge of Web Application Security']
Web Performance Optimization,"['Web Performance Optimization is subclass of Web Development', 'Web Performance Optimization use knowledge of JavaScript', 'Web Performance Optimization use knowledge of CSS', 'Web Performance Optimization use knowledge of HTML']"
Web Security,['Web Security is synonym of Web Application Security']
Web Security Dojo,"['Web Security Dojo is subclass of Security Testing', 'Web Security Dojo is subclass of Web Application Security', 'Web Security Dojo use knowledge of Security Testing', 'Web Security Dojo use knowledge of Visual Studio Code', 'Web Security Dojo use knowledge of VirtualBox', 'Web Security Dojo use knowledge of Web Application Security']"
Web Server,"['Web Server is subclass of Web Services', 'Web Server use knowledge of NodeJS', 'Web Server use knowledge of Hiawatha Web Server', 'Web Server use knowledge of OpenLiteSpeed Web Server', 'Web Server use knowledge of Caddy Web Server', 'Web Server use knowledge of Apache Tomcat', 'Web Server use knowledge of Lighttpd Web Server', 'Web Server use knowledge of Nginx Web Server', 'Web Server use knowledge of Apache HTTP Server', 'Web Server use knowledge of Security', 'Web Server use knowledge of Host Alias', 'Web Server use knowledge of Apache']"
Web Server Administration,"['Web Server Administration use knowledge of CN310', 'Web Server Administration use knowledge of https', 'Web Server Administration use knowledge of apache2', 'Web Server Administration use knowledge of TLS/SSL encrypted traffic', 'Web Server Administration use knowledge of virtual hosts', 'Web Server Administration use knowledge of systemd', 'Web Server Administration use knowledge of terminal', 'Web Server Administration use knowledge of Installation', 'Web Server Administration use knowledge of Web Server']"
Web Service,"['Web Service is subclass of Software Development', 'Web Service use knowledge of SOAP', 'Web Service use knowledge of REST']"
Web Services,"['Web Services is subclass of Computer Server Configuration', 'Web Services use knowledge of Application', 'Web Services use knowledge of Web Server', 'Web Services use knowledge of Web API']"
Web Templates,"['Web Templates use knowledge of JavaScript', 'Web Templates use knowledge of CSS', 'Web Templates use knowledge of HTML']"
Web applications,"['Web applications is synonym of Web Development', 'Web applications is subclass of Software application', 'Web applications is subclass of Applications', 'Web applications is subclass of Types of Software']"
Web apps,['Web apps is synonym of Web applications']
Web document root,['Web document root is subclass of Variable Content']
WebGoat,"['WebGoat is subclass of Security Testing', 'WebGoat use knowledge of Attacks', 'WebGoat use knowledge of Vulnerabilities']"
Webpack,"['Webpack is subclass of JavaScript Module Bundler', 'Webpack use knowledge of JavaScript']"
Webpage Content,['Webpage Content is subclass of Information Gathering']
Webserver Metafiles,['Webserver Metafiles is subclass of Information Gathering']
Website,"['Website is subclass of Ecommerce System', 'Website is subclass of Software', 'Website is subclass of Front Interface', 'Website use knowledge of Web Backend']"
Websites,['Websites is subclass of Applications']
Websphere,"['Websphere is subclass of Application Server', 'Websphere is subclass of J2EE', 'Websphere use knowledge of Java']"
Wed,['Wed is subclass of Days']
While Loops,"['While Loops is synonym of Indefinite Loops', 'While Loops is subclass of Programming Skill Development']"
While Statements,['While Statements is synonym of While Loops']
Wildcard usage,"['Wildcard usage is subclass of Shell Navigation and File System', 'Wildcard usage use knowledge of Wildcard character']"
Windows,['Windows is subclass of Operating System']
Windows System Calls,['Windows System Calls is subclass of System Call']
Wireframe,"['Wireframe is subclass of Design Process', 'Wireframe is subclass of Software Design', 'Wireframe is subclass of User Interface Design', 'Wireframe is subclass of Front-end Development', 'Wireframe is subclass of Screen Design', 'Wireframe use knowledge of UI', 'Wireframe use knowledge of User Interface Design']"
Work Breakdown Structure (WBS),['Work Breakdown Structure (WBS) is subclass of Software Project Management (SPM)']
Work product preparation,['Work product preparation is subclass of Software Engineering']
Workflow,['Workflow is subclass of Business Process']
Workflow Optimization,['Workflow Optimization is synonym of process improvement']
Workflows,['Workflows is synonym of Workflow']
Working Set,['Working Set is subclass of Working-Set Model']
Working-Set Model,"['Working-Set Model is subclass of Demand Paging', 'Working-Set Model use knowledge of Page-Fault Frequency Scheme', 'Working-Set Model use knowledge of Working Set', 'Working-Set Model use knowledge of Working-Set Window', 'Working-Set Model use knowledge of Locality Model', 'Working-Set Model use knowledge of Thrashing']"
Working-Set Window,['Working-Set Window is subclass of Working-Set Model']
Workload-Optimized Hybrid Cloud,['Workload-Optimized Hybrid Cloud is subclass of Data Center Innovation']
Worm,['Worm is subclass of Malware']
Worms,"['Worms is subclass of Security', 'Worms is subclass of Protection', 'Worms is subclass of Program Threats']"
Writing Methods,"['Writing Methods is subclass of methods', 'Writing Methods use knowledge of verbs', 'Writing Methods use knowledge of API', 'Writing Methods use knowledge of parameters', 'Writing Methods use knowledge of arguments', 'Writing Methods use knowledge of method body', 'Writing Methods use knowledge of method header', 'Writing Methods use knowledge of parameter list', 'Writing Methods use knowledge of methodName', 'Writing Methods use knowledge of returnType']"
Writing to files,['Writing to files is subclass of Java.io']
Written Communication,['Written Communication is synonym of English Communication']
XCUITest,['XCUITest is subclass of Software Test Automation Frameworks']
XDR,"['XDR is subclass of Cybersecurity', 'XDR use knowledge of EDR']"
XML,"['XML is synonym of Extensible Markup Language', 'XML is subclass of Software Development', 'XML is subclass of Database Systems']"
XML External Entities (XXE),['XML External Entities (XXE) is subclass of Web Application Security']
XP,['XP is synonym of Extreme Programming (XP)']
XPath,['XPath is subclass of Injection Flaws']
XSS,"['XSS is synonym of Cross-site scripting (XSS)', 'XSS is synonym of Cross-Site Scripting (XSS)', 'XSS is synonym of Cross-site scripting (XSS) Vulnerabilities', 'XSS is synonym of Cross-site Scripting (XSS)', 'XSS is synonym of XSS (Cross-Site Scripting)']"
XSS (Cross-Site Scripting),['XSS (Cross-Site Scripting) is subclass of Web Application Security']
XSS Vulnerabilities,['XSS Vulnerabilities is synonym of Cross-site scripting (XSS) Vulnerabilities']
XSS cookie sniffing,"['XSS cookie sniffing is subclass of Cross-site scripting (XSS)', 'XSS cookie sniffing is subclass of Cookie']"
XSS using Express.js,"['XSS using Express.js is subclass of Cross-site Scripting (XSS)', 'XSS using Express.js use knowledge of Express.JS']"
XXE,['XXE is synonym of XML External Entities (XXE)']
ZFS,['ZFS is subclass of File System']
